vel_tan,time_1,time_2,time_3,time_4,time_5
-6716.497756495813,3639.1400000330136,7278.270000112448,10917.400000191881,14556.540000271316,18195.670000021208
-6667.4722254265,3593.670000032021,7187.330000110463,10780.990000188904,14374.650000267346,17968.3100000576
-6618.446694357188,3549.460000031056,7098.910000108533,10648.360000186009,14197.810000263486,17747.260000092985
-6569.421163287875,3506.4600000301175,7012.920000106656,10519.380000183193,14025.830000259732,17532.290000127396
-6520.395632218562,3464.6400000292047,6929.27000010483,10393.910000180455,13858.54000025608,17323.180000160868
-6471.37010114925,3423.9500000283165,6847.890000103053,10271.83000017779,13695.770000252527,17119.710000193438
-6422.344570079938,3384.340000027452,6768.670000101324,10153.010000175196,13537.340000249069,16921.680000225137
-6373.319039010625,3345.78000002661,6691.560000099641,10037.340000172671,13383.120000245703,16728.900000255995
-6324.293507941313,3308.240000025791,6616.480000098002,9924.720000170213,13232.960000242425,16541.190000286042
-6275.267976872001,3271.6800000249928,6543.360000096406,9815.030000167819,13086.710000239233,16358.380000310646
-6226.242445802687,3236.0600000242152,6472.120000094851,9708.180000165486,12944.240000236123,16180.290000306759
-6177.216914733375,3201.360000023458,6402.710000093336,9604.070000163214,12805.420000233093,16006.770000302971
-6128.191383664063,3167.5400000227196,6335.07000009186,9502.600000161,12670.14000023014,15837.67000029928
-6079.16585259475,3134.570000022,6269.1400000904205,9403.70000015884,12538.270000227261,15672.830000295682
-6030.140321525438,3102.4300000212984,6204.850000089017,9307.280000156736,12409.700000224455,15512.130000292174
-5981.114790456126,3071.0900000206143,6142.170000087649,9213.250000154683,12284.330000221718,15355.420000288754
-5932.089259386813,3040.520000019947,6081.030000086314,9121.550000152682,12162.06000021905,15202.580000285418
-5883.0637283175,3010.700000019296,6021.390000085013,9032.090000150729,12042.780000216446,15053.480000282163
-5834.038197248188,2981.610000018661,5963.210000083743,8944.810000148824,11926.410000213906,14908.010000278988
-5785.012666178875,2953.2200000180414,5906.430000082503,8859.640000146965,11812.850000211427,14766.06000027589
-5735.987135109563,2925.5100000174366,5851.010000081294,8776.51000014515,11702.020000209008,14627.520000272865
-5686.961604040251,2898.460000016846,5796.920000080113,8695.370000143379,11593.830000206646,14492.280000269913
-5637.936072970938,2872.0500000162697,5744.10000007896,8616.15000014165,11488.20000020434,14360.250000267031
-5588.910541901625,2846.270000015707,5692.530000077834,8538.800000139961,11385.06000020209,14231.330000264217
-5539.885010832313,2821.0900000151573,5642.170000076735,8463.260000138313,11284.34000019989,14105.420000261469
-5490.859479763,2796.4900000146204,5592.980000075661,8389.470000136702,11185.960000197743,13982.450000258785
-5441.8339486936875,2772.470000014096,5544.9300000746125,8317.400000135129,11089.860000195646,13862.320000256163
-5392.808417624376,2749.0000000135838,5497.990000073588,8246.980000133592,10995.970000193596,13744.9600002536
-5343.782886555063,2726.060000013083,5452.120000072587,8178.1700001320905,10904.230000191594,13630.290000251098
-5294.75735548575,2703.650000012594,5407.290000071608,8110.930000130623,10814.580000189637,13518.220000248652
-5245.731824416438,2681.7400000121156,5363.480000070652,8045.2200001291885,10726.960000187724,13408.700000246261
-5196.706293347125,2660.3300000116483,5320.660000069717,7980.9900001277865,10641.310000185855,13301.640000243924
-5147.680762277812,2639.4000000111914,5278.8000000688035,7918.190000126416,10557.590000184027,13196.99000024164
-5098.6552312085005,2618.940000010745,5237.87000006791,7856.810000125076,10475.74000018224,13094.670000239406
-5049.629700139188,2598.930000010308,5197.860000067037,7796.780000123766,10395.710000180494,12994.630000237223
-5000.604169069875,2579.370000009881,5158.730000066183,7738.0900001224845,10317.450000178786,12896.810000235088
-4951.578638000563,2560.2300000094633,5120.460000065347,7680.690000121232,10240.920000177115,12801.140000233
-4902.55310693125,2541.520000009055,5083.03000006453,7624.550000120006,10166.060000175481,12707.580000230957
-4853.527575861938,2523.2200000086555,5046.430000063731,7569.640000118808,10092.850000173883,12616.06000022896
-4804.502044792625,2505.3100000082645,5010.62000006295,7515.930000117635,10021.24000017232,12526.540000227005
-4755.476513723313,2487.8000000078823,4975.590000062185,7463.390000116488,9951.18000017079,12438.970000225094
-4706.450982654001,2470.660000007508,4941.320000061437,7411.980000115366,9882.640000169295,12353.300000223224
-4657.425451584688,2453.9000000071424,4907.790000060705,7361.6900001142685,9815.58000016783,12269.480000221394
-4608.399920515375,2437.5000000067844,4874.990000059989,7312.480000113194,9749.970000166399,12187.460000219604
-4559.374389446063,2421.450000006434,4842.8900000592885,7264.330000112143,9685.770000164997,12107.210000217852
-4510.34885837675,2405.740000006091,4811.470000058603,7217.210000111115,9622.940000163626,12028.680000216138
-4461.3233273074375,2390.3700000057556,4780.730000057932,7171.100000110108,9561.460000162284,11951.83000021446
-4412.297796238126,2375.3300000054273,4750.650000057275,7125.970000109123,9501.29000016097,11876.620000212819
-4363.272265168813,2360.610000005106,4721.210000056632,7081.810000108159,9442.410000159685,11803.010000211212
-4314.2467340995,2346.2000000047915,4692.390000056003,7038.590000107216,9384.780000158427,11730.97000020964
-4265.221203030188,2332.1000000044837,4664.190000055388,6996.280000106292,9328.370000157196,11660.4700002081
-4216.195671960875,2318.3000000041825,4636.590000054785,6954.880000105389,9273.170000155991,11591.460000206594
-4167.170140891562,2304.7900000038876,4609.570000054196,6914.350000104504,9219.130000154812,11523.91000020512
-4118.1446098222505,2291.560000003599,4583.120000053618,6874.680000103638,9166.240000153657,11457.800000203677
-4069.1190787529376,2278.6200000033164,4557.240000053053,6835.850000102791,9114.470000152527,11393.090000202264
-4020.093547683625,2265.95000000304,4531.9000000525,6797.850000101961,9063.800000151421,11329.740000200882
-3971.068016614313,2253.550000002769,4507.100000051959,6760.650000101149,9014.200000150338,11267.740000199528
-3922.042485545,2241.4200000025044,4482.830000051429,6724.240000100354,8965.650000149279,11207.060000198204
-3873.016954475688,2229.540000002245,4459.0700000509105,6688.600000099576,8918.130000148241,11147.660000196907
-3823.9914234063754,2217.910000001991,4435.810000050403,6653.710000098815,8871.620000147226,11089.520000195638
-3774.9658923370625,2206.530000001743,4413.050000049906,6619.57000009807,8826.090000146232,11032.620000194396
-3725.9403612677506,2195.3900000014996,4390.77000004942,6586.16000009734,8781.54000014526,10976.92000019318
-3676.914830198438,2184.4900000012617,4368.970000048944,6553.450000096626,8737.930000144308,10922.41000019199
-3627.889299129125,2173.820000001029,4347.630000048478,6521.440000095928,8695.260000143377,10869.070000190826
-3578.863768059813,2163.380000000801,4326.750000048022,6490.120000095244,8653.490000142465,10816.860000189687
-3529.8382369905003,2153.160000000578,4306.310000047576,6459.470000094575,8612.620000141573,10765.780000188572
-3480.8127059211874,2143.1600000003596,4286.32000004714,6429.47000009392,8572.6300001407,10715.79000018748
-3431.7871748518755,2133.380000000146,4266.750000046713,6400.13000009328,8533.500000139846,10666.880000186413
-3382.7616437825627,2123.809999999937,4247.610000046295,6371.410000092653,8495.22000013901,10619.020000185368
-3333.73611271325,2114.4399999997327,4228.880000045886,6343.32000009204,8457.760000138192,10572.200000184346
-3284.710581643938,2105.2799999995327,4210.560000045486,6315.84000009144,8421.120000137393,10526.400000183346
-3235.685050574625,2096.319999999337,4192.640000045095,6288.960000090853,8385.28000013661,10481.600000182369
-3186.6595195053123,2087.559999999146,4175.1200000447125,6262.6800000902795,8350.230000135845,10437.790000181412
-3137.6339884360004,2078.989999998959,4157.980000044338,6236.970000089718,8315.950000135097,10394.940000180477
-3088.6084573666876,2070.609999998776,4141.2200000439725,6211.8300000891695,8282.440000134366,10353.040000179562
-3039.5829262973757,2062.419999998597,4124.830000043615,6187.250000088633,8249.66000013365,10312.080000178668
-2990.557395228063,2054.4099999984223,4108.820000043265,6163.2200000881085,8217.630000132951,10272.030000177794
-2941.53186415875,2046.5799999982837,4093.160000042924,6139.740000087596,8186.310000132268,10232.89000017694
-2892.506333089438,2038.9299999982907,4077.86000004259,6116.780000087095,8155.7100001316,10194.640000176105
-2843.4808020201253,2031.4599999982975,4062.9100000422636,6094.360000086605,8125.810000130948,10157.260000175289
-2794.4552709508125,2024.149999998304,4048.3000000419447,6072.450000086127,8096.59000013031,10120.740000174492
-2745.4297398815006,2017.0199999983106,4034.0300000416332,6051.04000008566,8068.060000129687,10085.070000173713
-2696.404208812188,2010.049999998317,4020.100000041329,6030.140000085204,8040.190000129079,10050.230000172953
-2647.378677742875,2003.2499999983231,4006.490000041032,6009.730000084758,8012.980000128485,10016.22000017221
-2598.353146673563,1996.6099999983292,3993.210000040742,5989.810000084323,7986.420000127905,9983.020000171486
-2549.3276156042502,1990.129999998335,3980.2500000404593,5970.370000083899,7960.490000127339,9950.620000170778
-2500.3020845349374,1983.7999999983408,3967.600000040183,5951.400000083485,7935.200000126787,9919.000000170088
-2451.2765534656255,1977.6399999983464,3955.270000039914,5932.900000083081,7910.5300001262485,9888.160000169415
-2402.2510223963127,1971.619999998352,3943.2400000396515,5914.850000082687,7886.470000125723,9858.080000168758
-2353.225491327,1965.7599999983572,3931.5100000393954,5897.260000082303,7863.010000125211,9828.760000168118
