Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
-1176.61,1866.11,1866.10,1866.11,1866.10,1866.11,1866.11,0.005,1865.96625
-1078.56,1861.15,1861.15,1861.14,1861.15,1861.14,1861.15,0.005,1860.891194
-980.51,1856.78,1856.77,1856.77,1856.78,1856.77,1856.77,0.005,1856.277506
-882.46,1853.16,1853.16,1853.15,1853.16,1853.16,1853.16,0.005,1852.119621
-784.41,1850.78,1850.79,1850.77,1850.78,1850.78,1850.78,0.010,1848.412547
-686.36,1851.19,1851.18,1851.19,1851.18,1851.17,1851.18,0.010,1845.151858
-588.31,1860.08,1860.07,1860.02,1859.99,1859.91,1860.01,0.085,1842.333674
-490.26,1903.30,1902.55,1901.12,1899.06,1896.46,1900.50,3.420,1839.954656
-392.20,2125.04,2064.87,1989.53,1931.05,1893.92,2000.88,115.560,1838.011992
-294.15,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1836.503393
-196.10,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1835.427086
-98.05,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1834.781806
98.05,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1834.781806
196.10,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1835.427086
294.15,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1836.503393
392.20,2125.04,2064.87,1989.53,1931.05,1893.92,2000.88,115.560,1838.011992
490.26,1903.30,1902.55,1901.12,1899.06,1896.46,1900.50,3.420,1839.954656
588.31,1860.08,1860.07,1860.02,1859.99,1859.91,1860.01,0.085,1842.333674
686.36,1851.19,1851.18,1851.18,1851.18,1851.18,1851.18,0.005,1845.151858
784.41,1850.78,1850.79,1850.77,1850.78,1850.78,1850.78,0.010,1848.412547
882.46,1853.16,1853.16,1853.15,1853.16,1853.16,1853.16,0.005,1852.119621
980.51,1856.78,1856.77,1856.77,1856.78,1856.77,1856.77,0.005,1856.277506
1078.56,1861.15,1861.15,1861.14,1861.15,1861.14,1861.15,0.005,1860.891194
1176.61,1866.11,1866.10,1866.11,1866.10,1866.11,1866.11,0.005,1865.96625
1274.66,1871.59,1871.59,1871.59,1871.58,1871.59,1871.59,0.005,1871.508831
1372.71,1877.58,1877.57,1877.57,1877.57,1877.58,1877.57,0.005,1877.525706
1470.77,1884.06,1884.05,1884.05,1884.06,1884.05,1884.05,0.005,1884.024269
1568.82,1891.04,1891.03,1891.03,1891.03,1891.03,1891.03,0.005,1891.012569
1666.87,1898.52,1898.51,1898.51,1898.51,1898.51,1898.51,0.005,1898.499326
1764.92,1906.51,1906.50,1906.50,1906.50,1906.50,1906.50,0.005,1906.493963
1862.97,1915.02,1915.01,1915.01,1915.01,1915.02,1915.01,0.005,1915.006629
1961.02,1924.06,1924.05,1924.05,1924.05,1924.06,1924.05,0.005,1924.048237
2059.07,1933.64,1933.63,1933.63,1933.64,1933.63,1933.63,0.005,1933.630488
2157.12,1943.77,1943.77,1943.77,1943.77,1943.76,1943.77,0.005,1943.765919
2255.17,1954.47,1954.47,1954.47,1954.47,1954.47,1954.47,0.000,1954.467933
2353.23,1965.76,1965.75,1965.75,1965.75,1965.75,1965.75,0.005,1965.750848
2451.28,1977.64,1977.63,1977.63,1977.63,1977.63,1977.63,0.005,1977.629941
2549.33,1990.13,1990.12,1990.12,1990.12,1990.13,1990.12,0.005,1990.121502
2647.38,2003.25,2003.24,2003.24,2003.25,2003.24,2003.24,0.005,2003.242884
2745.43,2017.02,2017.01,2017.01,2017.02,2017.01,2017.01,0.005,2017.012567
2843.48,2031.46,2031.45,2031.45,2031.45,2031.45,2031.45,0.005,2031.45022
2941.53,2046.58,2046.58,2046.58,2046.57,2046.58,2046.58,0.005,2046.576775
3039.58,2062.42,2062.41,2062.42,2062.41,2062.42,2062.42,0.005,2062.414497
3137.63,2078.99,2078.99,2078.99,2078.98,2078.99,2078.99,0.005,2078.987069
3235.69,2096.32,2096.32,2096.32,2096.32,2096.32,2096.32,0.000,2096.319683
3333.74,2114.44,2114.44,2114.44,2114.44,2114.44,2114.44,0.000,2114.439135
3431.79,2133.38,2133.37,2133.38,2133.37,2133.38,2133.38,0.005,2133.373931
3529.84,2153.16,2153.15,2153.16,2153.15,2153.16,2153.16,0.005,2153.154401
3627.89,2173.82,2173.81,2173.81,2173.82,2173.81,2173.81,0.005,2173.812823
3725.94,2195.39,2195.38,2195.39,2195.38,2195.38,2195.38,0.005,2195.38356
3823.99,2217.91,2217.90,2217.90,2217.91,2217.90,2217.90,0.005,2217.903205
3922.04,2241.42,2241.41,2241.41,2241.41,2241.41,2241.41,0.005,2241.410745
